Section,Category,Example
Technology,Access software,Citrix
Technology,Analytical or scientific software,Electronic data capture EDC software
Technology,Analytical or scientific software,IBM SPSS Statistics
Technology,Analytical or scientific software,Oracle Remote Data Capture
Technology,Analytical or scientific software,SAS
Technology,Analytical or scientific software,SAS JMP
Technology,Categorization or classification software,Autocoders
Technology,Categorization or classification software,Drug coding software
Technology,Data base reporting software,Oracle SQL Loader
Technology,Data base reporting software,SAP BusinessObjects Crystal Reports
Technology,Data base reporting software,SAP Crystal Reports
Technology,Data base user interface and query software,5AM Glassbox Translational Research
Technology,Data base user interface and query software,ClearTrial
Technology,Data base user interface and query software,Clinical trial management software
Technology,Data base user interface and query software,DZS Software Solutions ClinPlus
Technology,Data base user interface and query software,ePharmaSolutions eMVR
Technology,Data base user interface and query software,Fortress Medical Clindex
Technology,Data base user interface and query software,InforSense InforSense
Technology,Data base user interface and query software,Invivo Data EPX ePRO Management System
Technology,Data base user interface and query software,KIKA Veracity
Technology,Data base user interface and query software,Merge Healthcare eTrials
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Microsoft SQL Server
Technology,Data base user interface and query software,OpenClinica
Technology,Data base user interface and query software,Oracle Clinical
Technology,Data base user interface and query software,Patient tracking software
Technology,Data base user interface and query software,PercipEnz Technologies OnCore-Clinical Research Management OnCore-CRM
Technology,Data base user interface and query software,Phase Forward Clintrial
Technology,Data base user interface and query software,PPD eLoader
Technology,Data base user interface and query software,Relational database software
Technology,Data base user interface and query software,Sierra Scientific Software CRIS
Technology,Data base user interface and query software,StudyManager Sponsor Edition
Technology,Data base user interface and query software,SyMetric Sciences SyMetric
Technology,Data base user interface and query software,TOPAZ Enterprise Software Suite
Technology,Development environment software,Microsoft Visual Basic
Technology,Enterprise application integration software,Extensible markup language XML
Technology,Graphics or photo imaging software,Microsoft Visio
Technology,Medical software,Allscripts
Technology,Medical software,Epic Systems
Technology,Medical software,MEDITECH software
Technology,Object or component oriented development software,C++
Technology,Object or component oriented development software,Oracle Java
Technology,Office suite software,Microsoft Office
Technology,Presentation software,Microsoft PowerPoint
Technology,Project management software,Microsoft Project
Technology,Spreadsheet software,Microsoft Excel
Technology,Word processing software,Microsoft Word
