Section,Category,Example
Technology,Accounting software,Fund accounting software
Technology,Accounting software,Intuit QuickBooks
Technology,Accounting software,Sage 50 Accounting
Technology,Accounting software,Sageworks ProfitCents
Technology,Analytical or scientific software,ACL Audit Exchange
Technology,Analytical or scientific software,Arbutus Analyzer
Technology,Analytical or scientific software,Guidance Software EnCase Enterprise
Technology,Analytical or scientific software,SAS
Technology,Business intelligence and data analysis software,IBM Cognos Impromptu
Technology,Business intelligence and data analysis software,Qlik Tech QlikView
Technology,Business intelligence and data analysis software,Tableau
Technology,Compliance software,Intrax ProcedureNet
Technology,Compliance software,Paisley Cardmap
Technology,Compliance software,Sage HandiSoft HandiLedger
Technology,Compliance software,TrendTracker Compliance Solution
Technology,Data base user interface and query software,Data entry software
Technology,Data base user interface and query software,Microsoft Access
Technology,Data base user interface and query software,Structured query language SQL
Technology,Data mining software,Data extraction software
Technology,Data mining software,WizSoft WizWhy
Technology,Development environment software,Microsoft Visual Basic
Technology,Electronic mail software,IBM Notes
Technology,Enterprise resource planning ERP software,Lawson ERP
Technology,Enterprise resource planning ERP software,Microsoft Dynamics GP
Technology,Enterprise resource planning ERP software,Oracle Fusion Applications
Technology,Enterprise resource planning ERP software,SAP
Technology,Enterprise system management software,IBM Power Systems software
Technology,Financial analysis software,Bi3 Financial Statement Fraud Analysis
Technology,Financial analysis software,CaseWare International IDEA SmartAnalyzer
Technology,Financial analysis software,Oracle E-Business Suite Financials
Technology,Financial analysis software,Thomson Reuters Risk Management
Technology,Graphics or photo imaging software,Microsoft Visio
Technology,Information retrieval or search software,LexisNexis
Technology,Medical software,Healthcare common procedure coding system HCPCS
Technology,Medical software,Medical condition coding software
Technology,Medical software,Medical procedure coding software
Technology,Object or component oriented development software,R
Technology,Office suite software,Corel WordPerfect Office Suite
Technology,Office suite software,Microsoft Office
Technology,Office suite software,Microsoft Works
Technology,Operating system software,UNIX
Technology,Presentation software,Google Slides
Technology,Presentation software,Microsoft PowerPoint
Technology,Project management software,Oracle Primavera Enterprise Project Portfolio Management
Technology,Spreadsheet software,Google Sheets
Technology,Spreadsheet software,Microsoft Excel
Technology,Time accounting software,WorkForce Software EmpCenter Time and Attendance
Technology,Transaction security and virus protection software,Symantec
Technology,Video creation and editing software,TechSmith Camtasia
Technology,Word processing software,Google Docs
Technology,Word processing software,Microsoft Word
